Commodity,Weights,Year,Value
Bulk,U.S. competitors (country export weights),1970,83.47352600097656
Consumer oriented,U.S. competitors (country export weights),1970,92.9830322265625
Intermediates,U.S. competitors (country export weights),1970,92.36122131347656
Beef and beef products,U.S. competitors (country export weights),1970,87.35193634033203
Competitor agricultural exports to the world,U.S. competitors (country export weights),1970,80.954833984375
Competitor merchandise exports to the world,U.S. competitors (country export weights),1970,88.59122467041016
Corn,U.S. competitors (country export weights),1970,77.73053741455078
Cotton,U.S. competitors (country export weights),1970,84.63139343261719
Dairy products,U.S. competitors (country export weights),1970,98.14858245849609
Feeds and fodders,U.S. competitors (country export weights),1970,90.03265380859375
Fresh and processed fruit,U.S. competitors (country export weights),1970,91.03882598876953
Fresh and processed vegetables,U.S. competitors (country export weights),1970,96.06977844238281
Hides and skins,U.S. competitors (country export weights),1970,92.18431091308594
Juices and beverages,U.S. competitors (country export weights),1970,93.10678100585938
Pork and pork products,U.S. competitors (country export weights),1970,96.78215789794922
Poultry meat and products,U.S. competitors (country export weights),1970,86.88238525390625
Prepared food,U.S. competitors (country export weights),1970,88.42535400390625
Rice,U.S. competitors (country export weights),1970,86.64082336425781
Soybean and vegetable  oil,U.S. competitors (country export weights),1970,94.827880859375
Soybeans,U.S. competitors (country export weights),1970,79.39978790283203
Soymeal,U.S. competitors (country export weights),1970,70.26557159423828
Tobacco,U.S. competitors (country export weights),1970,69.69412994384766
Tree nuts,U.S. competitors (country export weights),1970,92.95675659179688
Wheat,U.S. competitors (country export weights),1970,89.40790557861328
Wine and beer,U.S. competitors (country export weights),1970,96.83875274658203
Agricultural related,U.S. markets (U.S. export weights),1970,87.90945434570313
Beef and beef products,U.S. markets (U.S. export weights),1970,99.09559631347656
Bulk,U.S. markets (U.S. export weights),1970,80.71949005126953
Consumer oriented,U.S. markets (U.S. export weights),1970,90.79952239990234
Corn,U.S. markets (U.S. export weights),1970,97.26692199707031
Cotton,U.S. markets (U.S. export weights),1970,74.87917327880859
Dairy products,U.S. markets (U.S. export weights),1970,83.51461029052734
Distillers grain,U.S. markets (U.S. export weights),1970,77.70186614990234
Feeds and fodders,U.S. markets (U.S. export weights),1970,82.24407196044922
Fresh and processed fruit,U.S. markets (U.S. export weights),1970,89.38419342041016
Fresh and processed vegetables,U.S. markets (U.S. export weights),1970,90.79161834716797
Hides and skins,U.S. markets (U.S. export weights),1970,75.18062591552734
Intermediates,U.S. markets (U.S. export weights),1970,83.34213256835938
Juices and beverages,U.S. markets (U.S. export weights),1970,89.31484222412109
Pork and pork products,U.S. markets (U.S. export weights),1970,98.94728851318359
Poultry meat and products,U.S. markets (U.S. export weights),1970,82.58004760742188
Prepared food,U.S. markets (U.S. export weights),1970,87.0330810546875
Rice,U.S. markets (U.S. export weights),1970,95.3927001953125
Soybean and vegetable oil,U.S. markets (U.S. export weights),1970,80.09413146972656
Soybeans,U.S. markets (U.S. export weights),1970,72.68560791015625
Soymeal,U.S. markets (U.S. export weights),1970,84.09527587890625
Tobacco,U.S. markets (U.S. export weights),1970,90.84248352050781
Tree nuts,U.S. markets (U.S. export weights),1970,96.52334594726563
U.S. agricultural exports to the world,U.S. markets (U.S. export weights),1970,85.94147491455078
U.S. merchandise exports to the world,U.S. markets (U.S. export weights),1970,88.11555480957031
Wheat,U.S. markets (U.S. export weights),1970,90.22459411621094
Wine and beer,U.S. markets (U.S. export weights),1970,88.85684204101563
Agricultural related products,U.S. suppliers (U.S. import weights),1970,72.03457641601563
Consumer oriented,U.S. suppliers (U.S. import weights),1970,84.77043914794922
Chocolate and cocoa products,U.S. suppliers (U.S. import weights),1970,84.55366516113281
Beef and beef products,U.S. suppliers (U.S. import weights),1970,75.17629241943359
Bulk,U.S. suppliers (U.S. import weights),1970,57.78400039672852
Cocoa beans,U.S. suppliers (U.S. import weights),1970,88.23440551757813
Cocoa paste and  butter,U.S. suppliers (U.S. import weights),1970,75.27973175048828
"Coffee, unroasted",U.S. suppliers (U.S. import weights),1970,38.57210159301758
Distilled spirits,U.S. suppliers (U.S. import weights),1970,100.8716430664063
Fish products,U.S. suppliers (U.S. import weights),1970,66.92658996582031
Forest products,U.S. suppliers (U.S. import weights),1970,71.21427154541016
Fresh and processed fruit,U.S. suppliers (U.S. import weights),1970,76.43112182617188
Fresh and processed vegetables,U.S. suppliers (U.S. import weights),1970,89.88703918457031
Intermediates,U.S. suppliers (U.S. import weights),1970,83.31441497802734
Live animals,U.S. suppliers (U.S. import weights),1970,88.99212646484375
Oils (example soybean),U.S. suppliers (U.S. import weights),1970,82.35782623291016
Prepared and snack foods,U.S. suppliers (U.S. import weights),1970,89.23374938964844
Raw beet and cane sugar,U.S. suppliers (U.S. import weights),1970,61.30977630615234
Rubber and allied products,U.S. suppliers (U.S. import weights),1970,60.36865997314453
"Sugars, sweeteners, beverage bases",U.S. suppliers (U.S. import weights),1970,73.47601318359375
U.S. total agricultural imports,U.S. suppliers (U.S. import weights),1970,78.44528961181641
Wine and beer,U.S. suppliers (U.S. import weights),1970,98.74691009521484
Bulk,U.S. competitors (country export weights),1971,81.34340667724609
Consumer oriented,U.S. competitors (country export weights),1971,90.37797546386719
Intermediates,U.S. competitors (country export weights),1971,89.79514312744141
Beef and beef products,U.S. competitors (country export weights),1971,84.35004425048828
Competitor agricultural exports to the world,U.S. competitors (country export weights),1971,79.21122741699219
Competitor merchandise exports to the world,U.S. competitors (country export weights),1971,87.12078094482422
Corn,U.S. competitors (country export weights),1971,75.53102874755859
Cotton,U.S. competitors (country export weights),1971,82.95991516113281
Dairy products,U.S. competitors (country export weights),1971,94.86002349853516
Feeds and fodders,U.S. competitors (country export weights),1971,87.22213745117188
Fresh and processed fruit,U.S. competitors (country export weights),1971,88.58563995361328
Fresh and processed vegetables,U.S. competitors (country export weights),1971,93.40316009521484
Hides and skins,U.S. competitors (country export weights),1971,89.37826538085938
Juices and beverages,U.S. competitors (country export weights),1971,90.70089721679688
Pork and pork products,U.S. competitors (country export weights),1971,93.52507781982422
Poultry meat and products,U.S. competitors (country export weights),1971,84.22160339355469
Prepared food,U.S. competitors (country export weights),1971,86.27344512939453
Rice,U.S. competitors (country export weights),1971,84.89491271972656
Soybean and vegetable  oil,U.S. competitors (country export weights),1971,92.36973571777344
Soybeans,U.S. competitors (country export weights),1971,77.28165435791016
Soymeal,U.S. competitors (country export weights),1971,67.93677520751953
Tobacco,U.S. competitors (country export weights),1971,68.50530242919922
